date,closeprice
2010-8-3,6158.892
2010-8-4,6180.102
2010-8-5,6116.201
2010-8-6,6210.728
2010-8-9,6252.976
2010-8-10,6071.088
2010-8-11,6102.84
2010-8-12,6029.878
2010-8-13,6097.239
2010-8-16,6230.407
2010-8-17,6266.722
2010-8-18,6252.152
2010-8-19,6297.051
2010-8-20,6183.345
2010-8-23,6175.447
2010-8-24,6190.433
2010-8-25,6043.043
2010-8-26,6053.142
2010-8-27,6069.812
2010-8-30,6174.544
2010-8-31,6131.263
2010-9-1,6090.117
2010-9-2,6165.185
2010-9-3,6152.976
2010-9-6,6281.109
2010-9-7,6290.308
2010-9-8,6269.573
2010-9-9,6154.574
2010-9-10,6150.683
2010-9-13,6196.885
2010-9-14,6204.21
2010-9-15,6106.07
2010-9-16,5995.035
2010-9-17,5991.277
2010-9-20,5971.388
2010-9-21,5983.426
2010-9-27,6071.405
2010-9-28,6020.503
2010-9-29,6021.471
2010-9-30,6150.932
2010-10-8,6382.688
2010-10-11,6592.487
2010-10-12,6682.939
2010-10-13,6779.061
2010-10-14,6832.539
2010-10-15,7085.048
2010-10-18,7047.009
2010-10-19,7185.058
2010-10-20,7219.043
2010-10-21,7140.172
2010-10-22,7125.941
2010-10-25,7330.639
2010-10-26,7288.863
2010-10-27,7158.381
2010-10-28,7140.752
2010-10-29,7075.839
2010-11-1,7260.474
2010-11-2,7243.686
2010-11-3,7187.879
2010-11-4,7306.049
2010-11-5,7396.205
2010-11-8,7453.793
2010-11-9,7388.53
2010-11-10,7309.104
2010-11-11,7356.863
2010-11-12,6927.181
2010-11-15,6960.572
2010-11-16,6660.509
2010-11-17,6547.15
2010-11-18,6626.844
2010-11-19,6670.999
2010-11-22,6642.051
2010-11-23,6498.637
2010-11-24,6620.288
2010-11-25,6721.884
2010-11-26,6656.236
2010-11-29,6640.801
2010-11-30,6532.938
2010-12-1,6539.736
2010-12-2,6578.967
2010-12-3,6591.849
2010-12-6,6630.285
2010-12-7,6689.388
2010-12-8,6617.841
2010-12-9,6529.475
2010-12-10,6611.855
2010-12-13,6809.759
2010-12-14,6818.345
2010-12-15,6770.968
2010-12-16,6729.119
2010-12-17,6718.86
2010-12-20,6614.121
2010-12-21,6766.335
2010-12-22,6692.912
2010-12-23,6650.921
2010-12-24,6607.148
2010-12-27,6482.702
2010-12-28,6375.939
2010-12-29,6402.715
2010-12-30,6400.125
2010-12-31,6517.595
2011-1-4,6651.797
2011-1-5,6625.325
2011-1-6,6589.212
2011-1-7,6621.007
2011-1-10,6507.359
2011-1-11,6556.502
2011-1-12,6606.101
2011-1-13,6598.464
2011-1-14,6489.148
2011-1-17,6261.718
2011-1-18,6264.106
2011-1-19,6392.523
2011-1-20,6187.471
2011-1-21,6281.069
2011-1-24,6229.826
2011-1-25,6202.753
2011-1-26,6283.106
2011-1-27,6375.473
2011-1-28,6381.938
2011-1-31,6464.507
2011-2-1,6469.963
2011-2-9,6395.181
2011-2-10,6509.924
2011-2-11,6531.503
2011-2-14,6734.991
2011-2-15,6730.239
2011-2-16,6776.59
2011-2-17,6770.875
2011-2-18,6706.877
2011-2-21,6779.67
2011-2-22,6583.614
2011-2-23,6611.37
2011-2-24,6648.905
2011-2-25,6657.214
2011-2-28,6730.26
2011-3-1,6770.839
2011-3-2,6758.054
2011-3-3,6742.74
2011-3-4,6845.297
2011-3-7,6982.673
2011-3-8,6992.454
2011-3-9,6991.374
2011-3-10,6851.23
2011-3-11,6780.01
2011-3-14,6795.976
2011-3-15,6672.593
2011-3-16,6775.077
2011-3-17,6677.23
2011-3-18,6717.324
2011-3-21,6708.739
2011-3-22,6751.228
2011-3-23,6835.418
2011-3-24,6805.57
2011-3-25,6898.468
2011-3-28,6911.162
2011-3-29,6865.191
2011-3-30,6860.765
2011-3-31,6791.109
2011-4-1,6911.709
2011-4-6,7020.273
2011-4-7,7032.457
2011-4-8,7084.289
2011-4-11,7045.524
2011-4-12,7031.016
2011-4-13,7129.132
2011-4-14,7088.422
2011-4-15,7113.246
2011-4-18,7113.09
2011-4-19,6959.239
2011-4-20,6962.507
2011-4-21,7014.967
2011-4-22,6978.627
2011-4-25,6875.08
2011-4-26,6840.376
2011-4-27,6802.623
2011-4-28,6723.747
2011-4-29,6772.456
2011-5-3,6802.653
2011-5-4,6627.847
2011-5-5,6616.952
2011-5-6,6596.464
2011-5-9,6608.695
2011-5-10,6662.804
2011-5-11,6640.409
2011-5-12,6546.905
2011-5-13,6613.141
2011-5-16,6551.458
2011-5-17,6587.539
2011-5-18,6640.378
2011-5-19,6597.365
2011-5-20,6604.266
2011-5-23,6403.908
2011-5-24,6414.21
2011-5-25,6337.621
2011-5-26,6323.902
2011-5-27,6295.422
2011-5-30,6280.802
2011-5-31,6377.666
2011-6-1,6373.423
2011-6-2,6262.488
2011-6-3,6318.307
2011-6-7,6353.324
2011-6-8,6355.022
2011-6-9,6239.587
2011-6-10,6258.204
2011-6-13,6235.809
2011-6-14,6322.687
2011-6-15,6259.264
2011-6-16,6169.1
2011-6-17,6114.683
2011-6-20,6084.407
2011-6-21,6148.934
2011-6-22,6145.448
2011-6-23,6239.591
2011-6-24,6391.364
2011-6-27,6406.771
2011-6-28,6413.479
2011-6-29,6317.665
2011-6-30,6407.893
2011-7-1,6410.648
2011-7-4,6564.439
2011-7-5,6568.254
2011-7-6,6541.212
2011-7-7,6508.48
2011-7-8,6525.779
2011-7-11,6523.251
2011-7-12,6393.385
2011-7-13,6497.278
2011-7-14,6522.609
2011-7-15,6547.059
2011-7-18,6534.024
2011-7-19,6481.292
2011-7-20,6467.143
2011-7-21,6389.859
2011-7-22,6403.99
2011-7-25,6199.028
2011-7-26,6217.252
2011-7-27,6252.939
2011-7-28,6203.892
2011-7-29,6204.376
2011-8-1,6214.316
2011-8-2,6163.361
2011-8-3,6159.196
2011-8-4,6171.91
2011-8-5,6031.695
2011-8-8,5816.442
2011-8-9,5828.416
2011-8-10,5876.711
2011-8-11,5964.661
2011-8-12,5973.989
2011-8-15,6069.995
2011-8-16,6032.323
2011-8-17,6011.754
2011-8-18,5901.705
2011-8-19,5839.84
2011-8-22,5785.157
2011-8-23,5881.371
2011-8-24,5850.022
2011-8-25,6057.696
2011-8-26,6052.203
2011-8-29,5943.44
2011-8-30,5925.804
2011-8-31,5936.761
2011-9-1,5914.07
2011-9-2,5849.857
2011-9-5,5730.952
2011-9-6,5703.248
2011-9-7,5818.308
2011-9-8,5767.937
2011-9-9,5764.664
2011-9-13,5701.091
2011-9-14,5729.21
2011-9-15,5712.281
2011-9-16,5722.525
2011-9-19,5607.142
2011-9-20,5633.749
2011-9-21,5808.053
2011-9-22,5623.729
2011-9-23,5599
2011-9-26,5463.81
2011-9-27,5523.961
2011-9-28,5462.804
2011-9-29,5420.102
2011-9-30,5402.768
2011-10-10,5353.83
2011-10-11,5359.401
2011-10-12,5563.476
2011-10-13,5598.889
2011-10-14,5584.443
2011-10-17,5609.525
2011-10-18,5450.987
2011-10-19,5444.922
2011-10-20,5327.531
2011-10-21,5313.857
2011-10-24,5469.123
2011-10-25,5560.728
2011-10-26,5611.91
2011-10-27,5630.291
2011-10-28,5735.241
2011-10-31,5704.493
2011-11-1,5713.103
2011-11-2,5811.537
2011-11-3,5805.297
2011-11-4,5848.649
2011-11-7,5788.289
2011-11-8,5773.102
2011-11-9,5820.512
2011-11-10,5698.582
2011-11-11,5692.419
2011-11-14,5809.66
2011-11-15,5796.092
2011-11-16,5632.714
2011-11-17,5611.45
2011-11-18,5503.553
2011-11-21,5509.273
2011-11-22,5507.965
2011-11-23,5447.4
2011-11-24,5457.988
2011-11-25,5417.196
2011-11-28,5422.244
2011-11-29,5498.016
2011-11-30,5315.461
2011-12-1,5455.71
2011-12-2,5407.433
2011-12-5,5351.62
2011-12-6,5336.895
2011-12-7,5369.204
2011-12-8,5364.817
2011-12-9,5323.361
2011-12-12,5273.061
2011-12-13,5152.475
2011-12-14,5105.002
2011-12-15,4982.208
2011-12-16,5084.245
2011-12-19,5071.067
2011-12-20,5056.792
2011-12-21,4982.737
2011-12-22,4986.391
2011-12-23,5024.677
2011-12-26,4975.945
2011-12-27,4925.611
2011-12-28,4934.79
2011-12-29,4938.936
2011-12-30,5009.285
2012-1-4,4923.873
2012-1-5,4893.925
2012-1-6,4931.612
2012-1-9,5096.762
2012-1-10,5252.781
2012-1-11,5222.382
2012-1-12,5234.399
2012-1-13,5161.343
2012-1-16,5067.766
2012-1-17,5310.623
2012-1-18,5234.837
2012-1-19,5336.068
2012-1-20,5405.799
2012-1-30,5315.594
2012-1-31,5321.344
2012-2-1,5238.752
2012-2-2,5370.137
2012-2-3,5411.966
2012-2-6,5400.256
2012-2-7,5302.91
2012-2-8,5451.61
2012-2-9,5451.416
2012-2-10,5457.077
2012-2-13,5447.125
2012-2-14,5421.854
2012-2-15,5474.868
2012-2-16,5445.258
2012-2-17,5452.497
2012-2-20,5461.907
2012-2-21,5504.684
2012-2-22,5567.566
2012-2-23,5582.31
2012-2-24,5668.822
2012-2-27,5683.642
2012-2-28,5706.492
2012-2-29,5649.047
2012-3-1,5643.441
2012-3-2,5734.665
2012-3-5,5693.94
2012-3-6,5598.934
2012-3-7,5556.021
2012-3-8,5628.611
2012-3-9,5678.843
2012-3-12,5649.829
2012-3-13,5705.166
2012-3-14,5555.102
2012-3-15,5504.548
2012-3-16,5576.321
2012-3-19,5588.079
2012-3-20,5498.686
2012-3-21,5510.855
2012-3-22,5506.606
2012-3-23,5450.022
2012-3-26,5450.044
2012-3-27,5442.401
2012-3-28,5296.26
2012-3-29,5224.63
2012-3-30,5262.412
2012-4-5,5372.759
2012-4-6,5379.55
2012-4-9,5326.701
2012-4-10,5380.74
2012-4-11,5378.362
2012-4-12,5487.773
2012-4-13,5510.289
2012-4-16,5500.2
2012-4-17,5431.205
2012-4-18,5557.259
2012-4-19,5554.611
2012-4-20,5627.794
2012-4-23,5585.416
2012-4-24,5595.8
2012-4-25,5635.666
2012-4-26,5640.916
2012-4-27,5630.8
2012-5-2,5748.685
2012-5-3,5760.972
2012-5-4,5807.639
2012-5-7,5800.73
2012-5-8,5787.828
2012-5-9,5684.508
2012-5-10,5687.291
2012-5-11,5641.498
2012-5-14,5596.068
2012-5-15,5598.933
2012-5-16,5515.181
2012-5-17,5601.945
2012-5-18,5519.847
2012-5-21,5544.463
2012-5-22,5624.787
2012-5-23,5598.713
2012-5-24,5562.739
2012-5-25,5519.79
2012-5-28,5596.082
2012-5-29,5677.531
2012-5-30,5661.268
2012-5-31,5632.061
2012-6-1,5636.456
2012-6-4,5476.18
2012-6-5,5479.895
2012-6-6,5483.247
2012-6-7,5450.958
2012-6-8,5406.556
2012-6-11,5472.799
2012-6-12,5431.342
2012-6-13,5518.21
2012-6-14,5472.294
2012-6-15,5498.33
2012-6-18,5520.012
2012-6-19,5479.618
2012-6-20,5467.598
2012-6-21,5379.319
2012-6-25,5267.786
2012-6-26,5261.356
2012-6-27,5244.025
2012-6-28,5194.787
2012-6-29,5279.948
2012-7-2,5277.588
2012-7-3,5282.907
2012-7-4,5282.495
2012-7-5,5211.482
2012-7-6,5279.591
2012-7-9,5147.82
2012-7-10,5127.893
2012-7-11,5160.51
2012-7-12,5197.465
2012-7-13,5200.095
2012-7-16,5102.612
2012-7-17,5141.138
2012-7-18,5148.59
2012-7-19,5175.593
2012-7-20,5128.499
2012-7-23,5056.309
2012-7-24,5071.819
2012-7-25,5044.36
2012-7-26,5021.012
2012-7-27,5025.832
2012-7-30,4995.179
2012-7-31,4996.967
2012-8-1,5048.258
2012-8-2,5004.628
2012-8-3,5039.677
2012-8-6,5103.043
2012-8-7,5103.073
2012-8-8,5109.881
2012-8-9,5149.373
2012-8-10,5126.367
2012-8-13,5022.589
2012-8-14,5029.752
2012-8-15,4961.331
2012-8-16,4939.779
2012-8-17,4939.248
2012-8-20,4912.756
2012-8-21,4936.873
2012-8-22,4906.888
2012-8-23,4924.823
2012-8-24,4881.867
2012-8-27,4777.984
2012-8-28,4809.86
2012-8-29,4760.078
2012-8-30,4767.392
2012-8-31,4750.228
2012-9-3,4790.893
2012-9-4,4744.254
2012-9-5,4729.703
2012-9-6,4772.211
2012-9-7,4981.236
2012-9-10,4993.057
2012-9-11,4956.271
2012-9-12,4972.245
2012-9-13,4928.667
2012-9-14,4969.803
2012-9-17,4854.963
2012-9-18,4803.258
2012-9-19,4826.119
